cohort_month,cohort_index,customer_id,cohort_size,retention_rate
2023-01,1,882,882,1.0
2023-01,2,193,882,0.2188
2023-01,3,225,882,0.2551
2023-01,4,209,882,0.237
2023-01,5,283,882,0.3209
2023-01,6,295,882,0.3345
2023-01,7,204,882,0.2313
2023-01,8,223,882,0.2528
2023-01,9,217,882,0.246
2023-01,10,319,882,0.3617
2023-01,11,297,882,0.3367
2023-01,12,281,882,0.3186
2023-01,13,216,882,0.2449
2023-01,14,219,882,0.2483
2023-01,15,223,882,0.2528
2023-01,16,200,882,0.2268
2023-01,17,289,882,0.3277
2023-01,18,281,882,0.3186
2023-01,19,218,882,0.2472
2023-01,20,227,882,0.2574
2023-01,21,212,882,0.2404
2023-01,22,345,882,0.3912
2023-01,23,315,882,0.3571
2023-01,24,293,882,0.3322
2023-01,25,196,882,0.2222
2023-01,26,206,882,0.2336
2023-01,27,203,882,0.2302
2023-01,28,215,882,0.2438
2023-01,29,298,882,0.3379
2023-01,30,291,882,0.3299
2023-01,31,216,882,0.2449
2023-01,32,220,882,0.2494
2023-01,33,211,882,0.2392
2023-01,34,356,882,0.4036
2023-01,35,350,882,0.3968
2023-01,36,292,882,0.3311
2023-02,1,607,607,1.0
2023-02,2,108,607,0.1779
2023-02,3,104,607,0.1713
2023-02,4,143,607,0.2356
2023-02,5,138,607,0.2273
2023-02,6,110,607,0.1812
2023-02,7,105,607,0.173
2023-02,8,97,607,0.1598
2023-02,9,192,607,0.3163
2023-02,10,185,607,0.3048
2023-02,11,154,607,0.2537
2023-02,12,112,607,0.1845
2023-02,13,98,607,0.1614
2023-02,14,103,607,0.1697
2023-02,15,106,607,0.1746
2023-02,16,158,607,0.2603
2023-02,17,156,607,0.257
2023-02,18,94,607,0.1549
2023-02,19,111,607,0.1829
2023-02,20,99,607,0.1631
2023-02,21,192,607,0.3163
2023-02,22,185,607,0.3048
2023-02,23,164,607,0.2702
2023-02,24,117,607,0.1928
2023-02,25,112,607,0.1845
2023-02,26,97,607,0.1598
2023-02,27,109,607,0.1796
2023-02,28,175,607,0.2883
2023-02,29,164,607,0.2702
2023-02,30,103,607,0.1697
2023-02,31,105,607,0.173
2023-02,32,92,607,0.1516
2023-02,33,194,607,0.3196
2023-02,34,183,607,0.3015
2023-02,35,165,607,0.2718
2023-03,1,556,556,1.0
2023-03,2,63,556,0.1133
2023-03,3,110,556,0.1978
2023-03,4,118,556,0.2122
2023-03,5,68,556,0.1223
2023-03,6,71,556,0.1277
2023-03,7,71,556,0.1277
2023-03,8,121,556,0.2176
2023-03,9,112,556,0.2014
2023-03,10,106,556,0.1906
2023-03,11,74,556,0.1331
2023-03,12,59,556,0.1061
2023-03,13,67,556,0.1205
2023-03,14,84,556,0.1511
2023-03,15,126,556,0.2266
2023-03,16,114,556,0.205
2023-03,17,70,556,0.1259
2023-03,18,71,556,0.1277
2023-03,19,71,556,0.1277
2023-03,20,135,556,0.2428
2023-03,21,147,556,0.2644
2023-03,22,125,556,0.2248
2023-03,23,81,556,0.1457
2023-03,24,79,556,0.1421
2023-03,25,78,556,0.1403
2023-03,26,73,556,0.1313
2023-03,27,140,556,0.2518
2023-03,28,129,556,0.232
2023-03,29,93,556,0.1673
2023-03,30,80,556,0.1439
2023-03,31,76,556,0.1367
2023-03,32,152,556,0.2734
2023-03,33,162,556,0.2914
2023-03,34,129,556,0.232
2023-04,1,477,477,1.0
2023-04,2,81,477,0.1698
2023-04,3,58,477,0.1216
2023-04,4,48,477,0.1006
2023-04,5,45,477,0.0943
2023-04,6,47,477,0.0985
2023-04,7,99,477,0.2075
2023-04,8,98,477,0.2055
2023-04,9,76,477,0.1593
2023-04,10,52,477,0.109
2023-04,11,48,477,0.1006
2023-04,12,47,477,0.0985
2023-04,13,42,477,0.0881
2023-04,14,79,477,0.1656
2023-04,15,61,477,0.1279
2023-04,16,59,477,0.1237
2023-04,17,55,477,0.1153
2023-04,18,67,477,0.1405
2023-04,19,99,477,0.2075
2023-04,20,117,477,0.2453
2023-04,21,86,477,0.1803
2023-04,22,56,477,0.1174
2023-04,23,41,477,0.086
2023-04,24,47,477,0.0985
2023-04,25,49,477,0.1027
2023-04,26,83,477,0.174
2023-04,27,84,477,0.1761
2023-04,28,41,477,0.086
2023-04,29,48,477,0.1006
2023-04,30,40,477,0.0839
2023-04,31,115,477,0.2411
2023-04,32,107,477,0.2243
2023-04,33,95,477,0.1992
2023-05,1,664,664,1.0
2023-05,2,92,664,0.1386
2023-05,3,59,664,0.0889
2023-05,4,66,664,0.0994
2023-05,5,63,664,0.0949
2023-05,6,124,664,0.1867
2023-05,7,131,664,0.1973
2023-05,8,96,664,0.1446
2023-05,9,67,664,0.1009
2023-05,10,69,664,0.1039
2023-05,11,63,664,0.0949
2023-05,12,50,664,0.0753
2023-05,13,106,664,0.1596
2023-05,14,86,664,0.1295
2023-05,15,65,664,0.0979
2023-05,16,63,664,0.0949
2023-05,17,65,664,0.0979
2023-05,18,136,664,0.2048
2023-05,19,121,664,0.1822
2023-05,20,103,664,0.1551
2023-05,21,68,664,0.1024
2023-05,22,65,664,0.0979
2023-05,23,60,664,0.0904
2023-05,24,61,664,0.0919
2023-05,25,97,664,0.1461
2023-05,26,100,664,0.1506
2023-05,27,63,664,0.0949
2023-05,28,62,664,0.0934
2023-05,29,75,664,0.113
2023-05,30,118,664,0.1777
2023-05,31,146,664,0.2199
2023-05,32,106,664,0.1596
2023-06,1,536,536,1.0
2023-06,2,51,536,0.0951
2023-06,3,46,536,0.0858
2023-06,4,34,536,0.0634
2023-06,5,100,536,0.1866
2023-06,6,92,536,0.1716
2023-06,7,63,536,0.1175
2023-06,8,39,536,0.0728
2023-06,9,43,536,0.0802
2023-06,10,50,536,0.0933
2023-06,11,40,536,0.0746
2023-06,12,80,536,0.1493
2023-06,13,66,536,0.1231
2023-06,14,50,536,0.0933
2023-06,15,50,536,0.0933
2023-06,16,59,536,0.1101
2023-06,17,91,536,0.1698
2023-06,18,92,536,0.1716
2023-06,19,85,536,0.1586
2023-06,20,38,536,0.0709
2023-06,21,32,536,0.0597
2023-06,22,61,536,0.1138
2023-06,23,45,536,0.084
2023-06,24,98,536,0.1828
2023-06,25,66,536,0.1231
2023-06,26,47,536,0.0877
2023-06,27,48,536,0.0896
2023-06,28,51,536,0.0951
