customer_id,recency_days,frequency,monetary,returns,recency_score,frequency_score,monetary_score,rfm_score,rfm_segment
C100002,21,70,1520607.43,12619.86,1,5,5,11,Loyal
C100003,979,1,20496.43,0.0,5,1,2,8,Needs Attention
C100004,441,2,2265.93,0.0,4,2,1,7,Needs Attention
C100005,37,12,142378.54,5821.87,1,5,4,10,Loyal
C100007,655,1,29302.41,0.0,5,1,3,9,Needs Attention
C100008,644,2,64943.83,0.0,5,2,3,10,Loyal
C100010,91,3,22755.13,0.0,2,3,2,7,Needs Attention
C100013,23,9,151459.38,0.0,1,5,4,10,Loyal
C100014,21,4,71147.44,0.0,1,4,4,9,Needs Attention
C100015,592,2,34045.6,1062.88,5,2,3,10,Loyal
C100016,1000,1,16313.87,0.0,5,1,2,8,Needs Attention
C100017,37,3,90013.04,0.0,1,3,4,8,Needs Attention
C100018,78,2,7466.030000000001,0.0,2,2,1,5,At Risk
C100019,400,2,126466.14,0.0,4,2,4,10,Loyal
C100021,37,2,17205.25,0.0,1,2,2,5,At Risk
C100024,82,10,314260.61,0.0,2,5,5,12,Loyal
C100025,931,1,659.39,0.0,5,1,1,7,Needs Attention
C100026,0,22,866859.0700000001,40326.020000000004,1,5,5,11,Loyal
C100027,110,3,62850.51,10664.43,3,3,3,9,Needs Attention
C100031,38,8,226322.44000000003,0.0,2,5,5,12,Loyal
C100032,139,6,130352.23999999999,0.0,3,4,4,11,Loyal
C100033,201,6,31630.010000000002,3850.68,3,4,3,10,Loyal
C100034,234,2,18995.65,0.0,3,2,2,7,Needs Attention
C100035,35,16,176668.32,5386.18,1,5,5,11,Loyal
C100036,58,8,73030.23999999999,2522.12,2,5,4,11,Loyal
C100037,617,1,6227.27,0.0,5,1,1,7,Needs Attention
C100038,279,7,39779.149999999994,3866.61,4,4,3,11,Loyal
C100039,19,20,392034.39,38901.52,1,5,5,11,Loyal
C100040,597,1,1749.73,0.0,5,1,1,7,Needs Attention
C100041,55,29,170502.5,17920.78,2,5,5,12,Loyal
C100042,956,1,3149.06,0.0,5,1,1,7,Needs Attention
C100043,944,1,5456.89,0.0,5,1,1,7,Needs Attention
C100044,27,13,314078.55,0.0,1,5,5,11,Loyal
C100045,0,53,1198703.31,12659.369999999999,1,5,5,11,Loyal
C100046,236,3,149581.24,0.0,3,3,4,10,Loyal
C100047,94,5,72884.94,5033.28,3,4,4,11,Loyal
C100048,524,3,42524.56,0.0,4,3,3,10,Loyal
C100049,204,2,82918.4,0.0,3,2,4,9,Needs Attention
C100050,28,2,27183.170000000002,0.0,1,2,2,5,At Risk
C100051,48,4,173969.09,0.0,2,4,5,11,Loyal
C100052,126,1,5007.5,0.0,3,1,1,5,At Risk
C100053,877,1,4493.91,0.0,5,1,1,7,Needs Attention
C100056,430,1,9629.8,0.0,4,1,2,7,Needs Attention
C100057,48,7,97331.59,20326.46,2,4,4,10,Loyal
C100058,179,4,126221.46999999999,0.0,3,4,4,11,Loyal
C100059,186,1,34562.3,0.0,3,1,3,7,Needs Attention
C100060,18,2,9079.630000000001,0.0,1,2,2,5,At Risk
C100062,49,3,48576.17,24911.98,2,3,3,8,Needs Attention
C100063,56,9,137680.82,979.97,2,5,4,11,Loyal
C100064,593,3,6962.669999999999,0.0,5,3,1,9,Needs Attention
C100065,429,1,27882.97,0.0,4,1,2,7,Needs Attention
C100067,940,1,63914.58,50226.02,5,1,3,9,Needs Attention
C100069,62,1,27017.1,0.0,2,1,2,5,At Risk
C100071,79,20,276599.46,12681.24,2,5,5,12,Loyal
C100073,563,1,879.19,0.0,5,1,1,7,Needs Attention
C100075,775,3,135349.99000000002,0.0,5,3,4,12,Loyal
C100077,6,5,126418.79999999999,0.0,1,4,4,9,Needs Attention
C100078,436,2,7234.9,0.0,4,2,1,7,Needs Attention
C100079,195,3,7169.790000000001,0.0,3,3,1,7,Needs Attention
C100080,88,2,46907.05,0.0,2,2,3,7,Needs Attention
C100084,282,1,6291.47,0.0,4,1,1,6,At Risk
C100085,55,2,15753.78,0.0,2,2,2,6,At Risk
C100089,48,4,117286.78,0.0,2,4,4,10,Loyal
C100090,57,4,44181.11,0.0,2,4,3,9,Needs Attention
C100091,142,2,57729.44,0.0,3,2,3,8,Needs Attention
C100092,278,2,10065.380000000001,5890.55,4,2,2,8,Needs Attention
C100094,270,1,7644.1,7387.7,4,1,1,6,At Risk
C100097,485,1,5135.9,0.0,4,1,1,6,At Risk
C100100,579,2,24716.5,0.0,5,2,2,9,Needs Attention
C100102,297,2,11234.77,0.0,4,2,2,8,Needs Attention
C100104,7,1,34415.14,0.0,1,1,3,5,At Risk
C100107,25,3,44826.38,0.0,1,3,3,7,Needs Attention
C100110,296,2,6846.1900000000005,0.0,4,2,1,7,Needs Attention
C100111,594,1,26908.29,24584.38,5,1,2,8,Needs Attention
C100112,193,2,11475.060000000001,0.0,3,2,2,7,Needs Attention
C100113,93,5,96367.62999999999,0.0,3,4,4,11,Loyal
C100114,33,12,349597.16,89476.23,1,5,5,11,Loyal
C100116,367,1,15277.91,0.0,4,1,2,7,Needs Attention
C100117,146,4,175821.75,0.0,3,4,5,12,Loyal
C100119,15,2,15836.6,0.0,1,2,2,5,At Risk
C100121,11,4,85096.37000000001,24066.15,1,4,4,9,Needs Attention
C100122,118,12,315156.24,124474.23000000001,3,5,5,13,Champions
C100123,8,63,1247722.08,18327.13,1,5,5,11,Loyal
C100126,914,1,44265.89,0.0,5,1,3,9,Needs Attention
C100128,477,3,13227.28,0.0,4,3,2,9,Needs Attention
C100129,403,1,9758.2,0.0,4,1,2,7,Needs Attention
C100130,49,3,20320.24,0.0,2,3,2,7,Needs Attention
C100131,30,3,86226.01000000001,29989.6,1,3,4,8,Needs Attention
C100132,462,2,38333.55,0.0,4,2,3,9,Needs Attention
C100133,269,1,8984.05,0.0,4,1,2,7,Needs Attention
C100134,58,5,79409.14,0.0,2,4,4,10,Loyal
C100135,93,4,94315.72,0.0,3,4,4,11,Loyal
C100137,105,13,439055.26,14197.66,3,5,5,13,Champions
C100138,604,1,22735.16,0.0,5,1,2,8,Needs Attention
C100139,9,10,519262.05,679.13,1,5,5,11,Loyal
C100140,63,5,92723.4,1199.62,2,4,4,10,Loyal
C100141,194,3,7424.19,0.0,3,3,1,7,Needs Attention
C100142,904,1,35299.19,0.0,5,1,3,9,Needs Attention
C100145,530,1,3338.33,0.0,4,1,1,6,At Risk
C100146,440,2,7336.93,0.0,4,2,1,7,Needs Attention
C100147,34,6,76722.93,0.0,1,4,4,9,Needs Attention
C100148,21,5,118909.69,0.0,1,4,4,9,Needs Attention
C100149,1037,1,6093.71,0.0,5,1,1,7,Needs Attention
C100150,225,1,2490.68,0.0,3,1,1,5,At Risk
C100151,45,12,221916.43,5190.6,2,5,5,12,Loyal
C100152,513,2,71289.34,0.0,4,2,4,10,Loyal
C100153,1068,1,70002.56,0.0,5,1,4,10,Loyal
C100154,56,6,203552.47,0.0,2,4,5,11,Loyal
C100155,88,3,83585.41,0.0,2,3,4,9,Needs Attention
C100156,382,3,131497.64,0.0,4,3,4,11,Loyal
C100157,162,6,58677.18,28264.08,3,4,3,10,Loyal
C100159,363,3,26092.69,0.0,4,3,2,9,Needs Attention
C100160,4,11,186063.69,1021.21,1,5,5,11,Loyal
C100161,814,4,50912.31,0.0,5,4,3,12,Loyal
C100162,66,5,86015.67,0.0,2,4,4,10,Loyal
C100163,662,1,4534.94,0.0,5,1,1,7,Needs Attention
C100165,180,4,20119.670000000002,0.0,3,4,2,9,Needs Attention
C100166,961,1,411.36,0.0,5,1,1,7,Needs Attention
C100167,150,6,183088.25,0.0,3,4,5,12,Loyal
C100169,915,1,9373.01,8255.38,5,1,2,8,Needs Attention
C100171,484,1,7638.96,0.0,4,1,1,6,At Risk
C100172,582,1,5906.28,0.0,5,1,1,7,Needs Attention
C100173,437,5,92880.01000000001,0.0,4,4,4,12,Loyal
C100176,372,2,53880.72,51479.42,4,2,3,9,Needs Attention
C100177,812,1,2336.14,0.0,5,1,1,7,Needs Attention
C100180,236,5,166600.52,0.0,3,4,5,12,Loyal
C100181,244,8,219058.44,5074.29,3,5,5,13,Champions
C100183,435,1,60905.13,0.0,4,1,3,8,Needs Attention
C100185,88,15,260340.15,9122.550000000001,2,5,5,12,Loyal
C100186,137,3,44388.03999999999,0.0,3,3,3,9,Needs Attention
C100188,603,1,1137.17,0.0,5,1,1,7,Needs Attention
C100189,74,3,10909.77,0.0,2,3,2,7,Needs Attention
C100190,4,1,4301.31,0.0,1,1,1,3,At Risk
C100191,400,2,11570.58,0.0,4,2,2,8,Needs Attention
C100192,1081,1,3408.73,0.0,5,1,1,7,Needs Attention
C100193,117,2,8988.09,0.0,3,2,2,7,Needs Attention
C100194,522,1,67528.88,0.0,4,1,3,8,Needs Attention
C100195,202,5,125468.67,83100.39,3,4,4,11,Loyal
C100197,40,3,103005.93,0.0,2,3,4,9,Needs Attention
C100199,6,3,62317.4,0.0,1,3,3,7,Needs Attention
C100202,352,1,5919.3,0.0,4,1,1,6,At Risk
C100203,248,1,2550.96,0.0,3,1,1,5,At Risk
C100204,25,18,539215.22,39364.5,1,5,5,11,Loyal
C100205,62,1,10075.48,0.0,2,1,2,5,At Risk
C100206,20,14,183123.5,0.0,1,5,5,11,Loyal
C100207,397,6,89762.36,4163.3,4,4,4,12,Loyal
C100208,392,3,19444.96,0.0,4,3,2,9,Needs Attention
C100210,67,5,96366.31,0.0,2,4,4,10,Loyal
C100211,51,2,52279.43,0.0,2,2,3,7,Needs Attention
C100212,330,4,108494.97,0.0,4,4,4,12,Loyal
C100213,120,2,45628.92,35869.76,3,2,3,8,Needs Attention
C100214,110,20,385146.65,78773.43,3,5,5,13,Champions
C100215,549,1,6227.27,0.0,5,1,1,7,Needs Attention
C100216,1009,1,6880.18,0.0,5,1,1,7,Needs Attention
C100217,326,6,136708.74,12612.15,4,4,4,12,Loyal
C100218,61,4,27402.13,0.0,2,4,2,8,Needs Attention
C100219,20,10,190058.06,0.0,1,5,5,11,Loyal
C100220,959,1,4333.41,3338.14,5,1,1,7,Needs Attention
C100221,444,1,29616.47,0.0,4,1,3,8,Needs Attention
C100222,29,5,70298.73,0.0,1,4,4,9,Needs Attention
C100223,798,1,2139.62,0.0,5,1,1,7,Needs Attention
C100224,280,3,89683.69,0.0,4,3,4,11,Loyal
C100226,64,2,40435.25,0.0,2,2,3,7,Needs Attention
C100227,15,2,12161.0,0.0,1,2,2,5,At Risk
C100228,70,3,95677.51,0.0,2,3,4,9,Needs Attention
C100230,703,2,9648.93,0.0,5,2,2,9,Needs Attention
C100231,594,2,2854.51,0.0,5,2,1,8,Needs Attention
C100234,90,8,296793.7,0.0,2,5,5,12,Loyal
C100235,193,8,177004.89,3055.24,3,5,5,13,Champions
C100236,268,4,52288.850000000006,0.0,4,4,3,11,Loyal
C100237,344,3,252474.0,0.0,4,3,5,12,Loyal
C100239,597,1,1044.63,0.0,5,1,1,7,Needs Attention
C100240,326,14,354576.70999999996,8212.11,4,5,5,14,Champions
C100242,93,2,85193.76999999999,47239.41,3,2,4,9,Needs Attention
C100243,389,1,1500.86,0.0,4,1,1,6,At Risk
C100244,232,3,20093.6,0.0,3,3,2,8,Needs Attention
C100245,746,1,5328.49,0.0,5,1,1,7,Needs Attention
C100246,13,3,33433.24,0.0,1,3,3,7,Needs Attention
C100247,333,2,6173.0,0.0,4,2,1,7,Needs Attention
C100249,49,3,60368.71,0.0,2,3,3,8,Needs Attention
C100251,8,10,280266.3,15736.44,1,5,5,11,Loyal
C100252,749,1,4807.74,0.0,5,1,1,7,Needs Attention
C100253,36,4,38258.59,0.0,1,4,3,8,Needs Attention
C100254,26,2,48556.8,0.0,1,2,3,6,At Risk
C100255,550,1,32099.35,24964.62,5,1,3,9,Needs Attention
C100256,55,4,23189.6,0.0,2,4,2,8,Needs Attention
C100257,79,6,289963.34,0.0,2,4,5,11,Loyal
C100258,105,2,12303.509999999998,0.0,3,2,2,7,Needs Attention
C100259,56,11,232371.06,1053.91,2,5,5,12,Loyal
C100261,524,1,4065.47,0.0,4,1,1,6,At Risk
C100262,440,3,67646.29000000001,0.0,4,3,3,10,Loyal
C100263,205,4,24492.379999999997,0.0,3,4,2,9,Needs Attention
C100264,216,5,129826.75,0.0,3,4,4,11,Loyal
C100265,419,4,529163.75,10064.08,4,4,5,13,Champions
C100266,1067,1,41868.2,0.0,5,1,3,9,Needs Attention
C100268,75,3,62508.47,0.0,2,3,3,8,Needs Attention
C100269,743,4,65944.43,0.0,5,4,3,12,Loyal
C100270,7,7,65357.46,0.0,1,4,3,8,Needs Attention
C100272,300,7,60257.8,0.0,4,4,3,11,Loyal
C100273,800,2,8834.47,0.0,5,2,2,9,Needs Attention
C100274,800,2,124047.74,0.0,5,2,4,11,Loyal
C100275,793,3,11401.78,4768.9,5,3,2,10,Loyal
C100276,132,1,5264.29,0.0,3,1,1,5,At Risk
C100277,176,3,68303.76999999999,0.0,3,3,4,10,Loyal
C100278,220,1,19111.73,0.0,3,1,2,6,At Risk
C100279,49,10,110233.59,0.0,2,5,4,11,Loyal
C100280,211,6,125150.33,0.0,3,4,4,11,Loyal
C100282,19,8,238492.8,2422.57,1,5,5,11,Loyal
C100283,105,3,218392.96000000002,0.0,3,3,5,11,Loyal
C100285,52,8,235327.16,0.0,2,5,5,12,Loyal
C100286,208,5,12573.41,269.82,3,4,2,9,Needs Attention
C100287,438,1,4943.3,0.0,4,1,1,6,At Risk
C100288,1091,1,2060.23,0.0,5,1,1,7,Needs Attention
C100289,15,11,192866.35,0.0,1,5,5,11,Loyal
C100290,12,2,81455.61,0.0,1,2,4,7,Needs Attention
C100291,71,1,1425.66,0.0,2,1,1,4,At Risk
C100292,199,5,69068.75,0.0,3,4,4,11,Loyal
C100293,160,1,4083.53,0.0,3,1,1,5,At Risk
C100296,277,3,14091.75,0.0,4,3,2,9,Needs Attention
C100297,233,3,75486.39,0.0,3,3,4,10,Loyal
C100299,447,1,5970.48,0.0,4,1,1,6,At Risk
C100300,426,2,6326.12,0.0,4,2,1,7,Needs Attention
C100301,38,1,5995.31,0.0,2,1,1,4,At Risk
C100302,688,2,56621.84,0.0,5,2,3,10,Loyal
C100304,631,1,5777.88,0.0,5,1,1,7,Needs Attention
C100307,5,123,2509995.69,261640.29,1,5,5,11,Loyal
C100312,414,1,23827.1,22772.32,4,1,2,7,Needs Attention
C100314,50,14,226125.38,835.67,2,5,5,12,Loyal
C100315,189,6,122559.58,47409.75,3,4,4,11,Loyal
C100318,28,7,279097.22000000003,0.0,1,4,5,10,Loyal
C100319,938,2,10222.39,0.0,5,2,2,9,Needs Attention
C100320,57,4,317257.39999999997,0.0,2,4,5,11,Loyal
C100321,15,54,1399000.9000000001,5490.51,1,5,5,11,Loyal
C100322,198,1,577.51,0.0,3,1,1,5,At Risk
C100323,44,1,40724.62,0.0,2,1,3,6,At Risk
C100326,12,6,35823.35,0.0,1,4,3,8,Needs Attention
C100327,7,5,176881.55,116775.87,1,4,5,10,Loyal
C100328,6,3,19182.3,0.0,1,3,2,6,At Risk
C100329,650,1,3516.38,0.0,5,1,1,7,Needs Attention
C100331,45,5,71709.5,0.0,2,4,4,10,Loyal
C100332,19,11,108751.26000000001,0.0,1,5,4,10,Loyal
C100333,690,1,6419.87,0.0,5,1,1,7,Needs Attention
C100334,810,1,4339.34,0.0,5,1,1,7,Needs Attention
C100335,39,11,75800.23999999999,0.0,2,5,4,11,Loyal
C100336,39,34,1030580.22,69239.36,2,5,5,12,Loyal
C100337,541,1,362.3,0.0,5,1,1,7,Needs Attention
C100338,12,2,38198.71,0.0,1,2,3,6,At Risk
C100339,69,2,5532.360000000001,0.0,2,2,1,5,At Risk
C100340,63,1,12839.74,0.0,2,1,2,5,At Risk
C100341,245,1,137660.58,0.0,3,1,4,8,Needs Attention
C100342,63,5,136477.45,1922.25,2,4,4,10,Loyal
C100343,30,9,67873.76,0.0,1,5,3,9,Needs Attention
C100346,75,2,27746.35,0.0,2,2,2,6,At Risk
C100347,33,10,267611.54000000004,22616.809999999998,1,5,5,11,Loyal
C100348,841,1,5649.49,0.0,5,1,1,7,Needs Attention
C100349,45,11,191415.31,53343.270000000004,2,5,5,12,Loyal
C100350,807,1,4493.91,0.0,5,1,1,7,Needs Attention
C100351,31,45,936701.45,158705.45,1,5,5,11,Loyal
C100352,9,55,752314.24,82850.3,1,5,5,11,Loyal
C100353,6,11,241544.22,5113.04,1,5,5,11,Loyal
C100354,81,2,146735.41,0.0,2,2,4,8,Needs Attention
C100356,17,2,35423.89,0.0,1,2,3,6,At Risk
C100358,619,1,34825.56,0.0,5,1,3,9,Needs Attention
C100359,554,1,52575.69,0.0,5,1,3,9,Needs Attention
C100360,303,2,10570.93,0.0,4,2,2,8,Needs Attention
C100361,906,1,6291.47,0.0,5,1,1,7,Needs Attention
C100362,17,5,156453.11,0.0,1,4,5,10,Loyal
C100363,156,6,34042.53,12512.61,3,4,3,10,Loyal
C100365,685,3,29467.66,0.0,5,3,3,11,Loyal
C100366,4,4,83789.15,41251.9,1,4,4,9,Needs Attention
C100367,51,5,30791.770000000004,0.0,2,4,3,9,Needs Attention
C100368,78,5,77636.4,0.0,2,4,4,10,Loyal
C100369,57,2,236251.32,5629.8,2,2,5,9,Needs Attention
C100370,178,3,9125.97,0.0,3,3,2,8,Needs Attention
C100371,485,1,5456.89,0.0,4,1,1,6,At Risk
C100372,84,1,34146.23,0.0,2,1,3,6,At Risk
C100373,21,2,28096.18,0.0,1,2,3,6,At Risk
C100374,935,1,132797.67,117908.83,5,1,4,10,Loyal
C100375,107,2,24717.23,0.0,3,2,2,7,Needs Attention
C100377,57,3,73667.73,10748.58,2,3,4,9,Needs Attention
C100378,54,7,96512.47,22815.620000000003,2,4,4,10,Loyal
C100379,162,15,287106.33,0.0,3,5,5,13,Champions
C100380,439,2,3176.34,0.0,4,2,1,7,Needs Attention
C100381,398,1,43499.42,0.0,4,1,3,8,Needs Attention
C100382,445,1,9808.04,0.0,4,1,2,7,Needs Attention
C100383,39,2,11051.84,0.0,2,2,2,6,At Risk
C100384,7,5,98949.32,0.0,1,4,4,9,Needs Attention
C100385,398,3,122521.37,0.0,4,3,4,11,Loyal
C100386,255,3,185000.6,0.0,3,3,5,11,Loyal
C100387,225,2,53761.659999999996,0.0,3,2,3,8,Needs Attention
C100388,235,5,33508.46,0.0,3,4,3,10,Loyal
C100392,87,1,5370.44,0.0,2,1,1,4,At Risk
C100393,31,1,6098.88,0.0,1,1,1,3,At Risk
C100394,129,11,157303.26,4222.61,3,5,5,13,Champions
C100395,797,1,4672.28,0.0,5,1,1,7,Needs Attention
C100396,490,3,57242.7,0.0,4,3,3,10,Loyal
C100397,16,5,114715.05,4497.62,1,4,4,9,Needs Attention
C100399,28,12,251550.87000000002,12221.74,1,5,5,11,Loyal
C100400,28,5,81365.85,0.0,1,4,4,9,Needs Attention
C100401,417,4,95536.34,45345.88,4,4,4,12,Loyal
C100402,232,6,201030.57,27902.03,3,4,5,12,Loyal
C100403,206,3,38434.79,0.0,3,3,3,9,Needs Attention
C100404,32,24,348601.58,56589.14,1,5,5,11,Loyal
C100407,448,2,29817.07,0.0,4,2,3,9,Needs Attention
C100408,86,4,42494.93,4682.15,2,4,3,9,Needs Attention
C100410,625,2,21916.050000000003,0.0,5,2,2,9,Needs Attention
C100413,1071,1,5906.28,0.0,5,1,1,7,Needs Attention
C100414,115,1,6050.26,0.0,3,1,1,5,At Risk
C100415,127,4,93796.37,13510.609999999999,3,4,4,11,Loyal
C100417,343,1,6739.27,0.0,4,1,1,6,At Risk
C100418,195,2,13695.550000000001,0.0,3,2,2,7,Needs Attention
C100419,20,6,80373.4,5690.88,1,4,4,9,Needs Attention
C100421,767,1,56158.76,0.0,5,1,3,9,Needs Attention
C100422,401,2,2327.99,672.06,4,2,1,7,Needs Attention
C100423,575,1,26550.24,0.0,5,1,2,8,Needs Attention
C100424,88,2,44122.119999999995,0.0,2,2,3,7,Needs Attention
C100426,41,11,109179.73000000001,5157.64,2,5,4,11,Loyal
C100427,815,1,51029.09,0.0,5,1,3,9,Needs Attention
C100429,23,14,266128.24,0.0,1,5,5,11,Loyal
C100430,762,1,5328.49,0.0,5,1,1,7,Needs Attention
C100431,255,5,41563.22,0.0,3,4,3,10,Loyal
C100432,41,4,107600.38,0.0,2,4,4,10,Loyal
C100433,454,2,64589.03,0.0,4,2,3,9,Needs Attention
C100434,244,2,10113.45,0.0,3,2,2,7,Needs Attention
C100435,353,1,2292.59,0.0,4,1,1,6,At Risk
C100436,623,4,18566.77,4873.57,5,4,2,11,Loyal
C100437,123,9,143822.86,6354.1,3,5,4,12,Loyal
C100438,145,6,127874.53,43961.02,3,4,4,11,Loyal
C100439,58,22,731963.2799999999,41714.8,2,5,5,12,Loyal
C100440,166,2,7903.94,0.0,3,2,1,6,At Risk
C100441,29,5,113456.77,5833.88,1,4,4,9,Needs Attention
C100443,516,2,8739.93,0.0,4,2,2,8,Needs Attention
C100445,38,4,23360.48,0.0,2,4,2,8,Needs Attention
C100446,35,2,46297.44,0.0,1,2,3,6,At Risk
C100449,79,7,73534.36,0.0,2,4,4,10,Loyal
C100450,174,3,198196.41999999998,0.0,3,3,5,11,Loyal
C100452,143,1,5456.89,0.0,3,1,1,5,At Risk
C100453,40,3,74536.62,0.0,2,3,4,9,Needs Attention
C100455,191,6,175048.27,0.0,3,4,5,12,Loyal
C100456,80,3,144511.08000000002,0.0,2,3,4,9,Needs Attention
C100457,62,7,137654.79,1302.9,2,4,4,10,Loyal
C100460,62,8,84907.37,0.0,2,5,4,11,Loyal
C100461,395,5,50698.31,0.0,4,4,3,11,Loyal
C100463,84,1,1459.46,1265.81,2,1,1,4,At Risk
C100464,396,4,53375.43,0.0,4,4,3,11,Loyal
C100466,58,2,5373.68,0.0,2,2,1,5,At Risk
C100468,50,11,189753.86,8334.38,2,5,5,12,Loyal
C100469,15,1,29620.08,0.0,1,1,3,5,At Risk
C100472,4,19,247518.58,13660.279999999999,1,5,5,11,Loyal
C100473,340,5,218295.09,0.0,4,4,5,13,Champions
C100474,68,19,510355.02,16225.42,2,5,5,12,Loyal
C100475,397,4,124001.61,0.0,4,4,4,12,Loyal
C100476,45,6,89521.18,47177.8,2,4,4,10,Loyal
C100477,97,4,28011.65,3355.78,3,4,2,9,Needs Attention
C100478,403,2,60407.18,0.0,4,2,3,9,Needs Attention
C100479,71,11,146076.66999999998,26200.32,2,5,4,11,Loyal
C100480,583,1,57192.83,0.0,5,1,3,9,Needs Attention
C100481,9,22,571166.93,9946.33,1,5,5,11,Loyal
C100485,957,1,546.75,0.0,5,1,1,7,Needs Attention
C100486,47,3,20295.129999999997,9805.23,2,3,2,7,Needs Attention
C100487,49,8,160426.42,8741.8,2,5,5,12,Loyal
C100488,47,15,303712.92,0.0,2,5,5,12,Loyal
C100489,54,14,422342.13,38989.39,2,5,5,12,Loyal
C100490,427,2,78875.52,0.0,4,2,4,10,Loyal
C100491,54,11,246327.5,66101.14,2,5,5,12,Loyal
C100492,278,1,5970.48,0.0,4,1,1,6,At Risk
C100493,280,1,9886.6,0.0,4,1,2,7,Needs Attention
C100494,236,1,3243.32,0.0,3,1,1,5,At Risk
C100495,25,3,17500.07,0.0,1,3,2,6,At Risk
C100498,545,3,112069.76000000001,0.0,5,3,4,12,Loyal
C100499,123,4,50746.35,0.0,3,4,3,10,Loyal
C100500,986,1,37154.8,0.0,5,1,3,9,Needs Attention
C100501,40,2,59397.72,48486.91,2,2,3,7,Needs Attention
C100502,16,2,92497.21,0.0,1,2,4,7,Needs Attention
C100503,13,10,246425.02000000002,4627.13,1,5,5,11,Loyal
C100505,336,1,70825.42,0.0,4,1,4,9,Needs Attention
C100506,51,3,32130.29,0.0,2,3,3,8,Needs Attention
C100507,17,75,1222696.3900000001,112694.41,1,5,5,11,Loyal
C100508,772,3,11344.46,993.26,5,3,2,10,Loyal
C100509,822,2,81211.10999999999,0.0,5,2,4,11,Loyal
C100511,135,1,6808.75,0.0,3,1,1,5,At Risk
C100514,674,1,175644.97,0.0,5,1,5,11,Loyal
C100518,198,7,206398.68,0.0,3,4,5,12,Loyal
C100519,20,2,30767.25,0.0,1,2,3,6,At Risk
C100520,66,4,60897.28,0.0,2,4,3,9,Needs Attention
C100523,431,1,33385.84,30023.89,4,1,3,8,Needs Attention
C100524,85,11,77238.04,16255.27,2,5,4,11,Loyal
C100525,239,8,161718.17,50211.24,3,5,5,13,Champions
C100527,805,1,2491.48,0.0,5,1,1,7,Needs Attention
C100529,79,4,84463.07,0.0,2,4,4,10,Loyal
C100530,3,31,663169.55,19642.440000000002,1,5,5,11,Loyal
C100531,598,2,32413.38,28066.43,5,2,3,10,Loyal
C100532,51,6,58583.94,12112.23,2,4,3,9,Needs Attention
C100533,205,7,158774.69,0.0,3,4,5,12,Loyal
C100534,21,8,92020.98,0.0,1,5,4,10,Loyal
C100535,403,2,64668.100000000006,648.2,4,2,3,9,Needs Attention
C100538,388,4,39686.03,0.0,4,4,3,11,Loyal
C100539,157,2,61871.06,0.0,3,2,3,8,Needs Attention
C100540,594,4,28156.28,0.0,5,4,3,12,Loyal
C100542,402,4,98456.5,0.0,4,4,4,12,Loyal
C100544,41,13,210456.23,10938.4,2,5,5,12,Loyal
C100545,21,6,126693.39,4299.23,1,4,4,9,Needs Attention
C100546,993,1,382.83,0.0,5,1,1,7,Needs Attention
C100548,570,1,5349.73,0.0,5,1,1,7,Needs Attention
C100549,86,8,64158.19,0.0,2,5,3,10,Loyal
C100550,36,12,301738.27999999997,0.0,1,5,5,11,Loyal
C100551,677,1,1029.18,0.0,5,1,1,7,Needs Attention
C100552,818,1,1424.29,0.0,5,1,1,7,Needs Attention
C100555,90,1,14299.54,0.0,2,1,2,5,At Risk
C100556,393,1,19926.34,0.0,4,1,2,7,Needs Attention
C100557,40,5,90530.69,30828.4,2,4,4,10,Loyal
C100558,237,10,143312.79,36206.85,3,5,4,12,Loyal
C100559,668,1,110437.43,0.0,5,1,4,10,Loyal
C100560,795,1,1312.13,0.0,5,1,1,7,Needs Attention
C100561,675,2,55483.65,0.0,5,2,3,10,Loyal
C100562,727,3,11748.7,0.0,5,3,2,10,Loyal
C100563,626,2,116470.56999999999,0.0,5,2,4,11,Loyal
C100564,92,13,148855.75,8150.28,3,5,4,12,Loyal
C100565,189,1,1708.56,0.0,3,1,1,5,At Risk
C100566,583,1,5649.49,0.0,5,1,1,7,Needs Attention
