order_month,revenue,profit,orders,customers,refunds,aov,monthly_growth_rate
2023-01,28850291.98,5097829.58,1200,895,1870834.17,24041.909983333335,0.0
2023-02,20635745.73,3917060.32,1067,812,1139917.97,19339.967881911904,-0.28473009062419896
2023-03,24414152.8,4560221.08,1173,897,1442991.01,20813.429497016197,0.18310009821971196
2023-04,23166476.04,4164566.85,1129,860,2271497.7,20519.465048715676,-0.0511046510694404
2023-05,42929181.71,7525979.41,1901,1297,3226523.79,22582.420678590217,0.8530734513042495
2023-06,36019404.44,6500600.2,1775,1251,2343903.87,20292.62221971831,-0.16095758164405982
2023-07,24141672.22,4411417.16,1151,859,1813222.57,20974.51973935708,-0.32975926183858917
2023-08,25399727.94,4394592.83,1157,871,2423221.29,21953.0924286949,0.05211137441248903
2023-09,23567187.26,4213635.29,1113,831,1474131.25,21174.471931716085,-0.0721480436455415
2023-10,50359002.27,9021258.94,2409,1564,3731164.42,20904.525641344957,1.1368270092830755
2023-11,48375663.78,8726249.98,2316,1528,3270213.15,20887.592305699483,-0.039383990956896375
2023-12,39752112.82,6966549.28,1884,1274,3458044.74,21099.847569002122,-0.17826217329477234
2024-01,25559080.84,4829652.1,1222,908,1431623.86,20915.778101472995,-0.3570384307437171
2024-02,23841049.85,4283277.5,1135,861,1514798.92,21005.33026431718,-0.06721802715656644
2024-03,25269538.45,4497973.78,1153,859,1918910.38,21916.33863833478,0.05991718523251177
2024-04,25569224.07,4528753.03,1115,830,1761101.59,22932.039524663676,0.011859560497829325
2024-05,43693122.11,7977502.38,2089,1401,3171883.34,20915.80761608425,0.7088168960615628
2024-06,38348854.2,7133843.61,1854,1263,2224191.66,20684.38737864078,-0.12231371098969512
2024-07,24455028.03,4498051.4,1191,869,1340515.52,20533.18894206549,-0.36230094639959287
2024-08,26007594.19,4704842.74,1201,904,1792666.01,21654.949367194007,0.0634865827221871
2024-09,23496321.1,4225864.21,1153,896,1924674.89,20378.422463139636,-0.09655922311205511
2024-10,57343182.95,9958828.39,2661,1716,4030796.45,21549.486264562194,1.440517505099979
2024-11,56414564.63,10266076.65,2643,1646,3305461.04,21344.897703367387,-0.016194049095769603
2024-12,42511073.31,7813032.04,2054,1372,2936005.02,20696.725077896786,-0.24645216020343863
2025-01,23160309.39,4228041.59,1144,884,1431618.78,20245.02569055944,-0.4551934922670622
2025-02,23788347.75,4327511.5,1100,816,1484721.27,21625.770681818183,0.027117010806046116
2025-03,22451709.55,4055995.75,1130,865,2099551.41,19868.769513274336,-0.05618877839046221
2025-04,25970785.58,4524670.76,1149,870,1660445.85,22602.94654482158,0.15673978064623584
2025-05,46299745.13,8424747.35,2184,1464,3072273.13,21199.517000915752,0.7827625963557783
2025-06,42574898.21,7821545.45,2027,1348,2891719.0,21003.896502220032,-0.08045070031252677
2025-07,24511840.72,4400780.45,1164,877,1618200.41,21058.28240549828,-0.424265429852686
2025-08,24039757.1,4328224.64,1174,883,1882249.64,20476.794804088586,-0.019259411212427135
2025-09,23824780.94,4266984.72,1185,900,2145012.42,20105.300371308018,-0.008942526295325992
2025-10,58793186.66,10421117.96,2895,1783,5084854.56,20308.527343696027,1.4677325180056826
2025-11,60927704.19,11122952.32,2913,1804,4165733.0,20915.792718846547,0.03630552537224907
2025-12,42632561.68,7786652.68,2189,1506,2728977.7,19475.8162083143,-0.3002762495850412
