customer_id,customer_name,gender,age,city,state,region,signup_date,acquisition_channel,loyalty_tier,customer_segment_seed
C100000,Customer 00000,Female,18,Hyderabad,Telangana,South,2023-04-03,Organic Search,Bronze,Prime
C100001,Customer 00001,Male,25,Mumbai,Maharashtra,West,2025-03-12,Email,Silver,Loyal
C100002,Customer 00002,Prefer not to say,23,Chennai,Tamil Nadu,South,2024-11-08,Direct,Bronze,Occasional
C100003,Customer 00003,Female,26,Mumbai,Maharashtra,West,2024-03-30,Direct,Bronze,Occasional
C100004,Customer 00004,Male,36,Mumbai,Maharashtra,West,2024-03-24,Organic Search,Silver,New
C100005,Customer 00005,Male,38,Hyderabad,Telangana,South,2025-06-07,Direct,Silver,Loyal
C100006,Customer 00006,Male,23,Pune,Maharashtra,West,2023-03-30,Email,Silver,Discount Seeker
C100007,Customer 00007,Female,25,Lucknow,Uttar Pradesh,North,2024-12-22,Paid Search,Bronze,Occasional
C100008,Customer 00008,Female,44,Jaipur,Rajasthan,North,2023-07-28,Organic Search,Bronze,Discount Seeker
C100009,Customer 00009,Female,50,Surat,Gujarat,West,2023-04-08,Influencer,Bronze,Occasional
C100010,Customer 00010,Male,46,Ahmedabad,Gujarat,West,2024-06-28,Organic Search,Bronze,Prime
C100011,Customer 00011,Male,18,Kolkata,West Bengal,East,2025-10-06,Organic Search,Bronze,Occasional
C100012,Customer 00012,Female,45,Mumbai,Maharashtra,West,2025-01-31,Email,Silver,Loyal
C100013,Customer 00013,Female,52,Pune,Maharashtra,West,2025-02-26,Affiliate,Gold,Occasional
C100014,Customer 00014,Female,18,Mumbai,Maharashtra,West,2025-01-12,Paid Search,Platinum,Loyal
C100015,Customer 00015,Male,44,Mumbai,Maharashtra,West,2025-03-24,Affiliate,Silver,Occasional
C100016,Customer 00016,Male,35,Mumbai,Maharashtra,West,2024-06-15,Affiliate,Gold,New
C100017,Customer 00017,Female,30,Lucknow,Uttar Pradesh,North,2023-05-13,Affiliate,Bronze,Loyal
C100018,Customer 00018,Male,34,Ahmedabad,Gujarat,West,2025-05-19,Affiliate,Gold,Occasional
C100019,Customer 00019,Male,37,Bhopal,Madhya Pradesh,Central,2024-04-11,Organic Search,Bronze,Loyal
C100020,Customer 00020,Male,45,Gurugram,Haryana,North,2024-06-01,Direct,Bronze,Prime
C100021,Customer 00021,Male,44,Kochi,Kerala,South,2024-01-19,Social,Bronze,Occasional
C100022,Customer 00022,Female,18,Mumbai,Maharashtra,West,2023-07-08,Social,Bronze,Discount Seeker
C100023,Customer 00023,Male,27,Surat,Gujarat,West,2025-08-17,Organic Search,Silver,Loyal
C100024,Customer 00024,Male,34,Lucknow,Uttar Pradesh,North,2025-03-19,Email,Bronze,Loyal
C100025,Customer 00025,Male,49,Surat,Gujarat,West,2024-10-28,Organic Search,Gold,New
C100026,Customer 00026,Male,18,Mumbai,Maharashtra,West,2024-02-21,Social,Gold,Occasional
C100027,Customer 00027,Female,27,Mumbai,Maharashtra,West,2025-05-01,Organic Search,Silver,Loyal
C100028,Customer 00028,Male,18,Indore,Madhya Pradesh,Central,2024-07-18,Email,Bronze,Prime
C100029,Customer 00029,Male,19,Delhi,Delhi,North,2024-04-03,Organic Search,Silver,New
C100030,Customer 00030,Female,43,Bengaluru,Karnataka,South,2024-04-11,Email,Bronze,New
C100031,Customer 00031,Prefer not to say,28,Hyderabad,Telangana,South,2023-08-24,Email,Bronze,Occasional
C100032,Customer 00032,Female,18,Mumbai,Maharashtra,West,2023-04-06,Paid Search,Bronze,Loyal
C100033,Customer 00033,Male,31,Mumbai,Maharashtra,West,2024-07-27,Direct,Bronze,Discount Seeker
C100034,Customer 00034,Female,53,Noida,Uttar Pradesh,North,2025-07-07,Social,Bronze,Occasional
C100035,Customer 00035,Female,18,Surat,Gujarat,West,2023-03-08,Affiliate,Bronze,Prime
C100036,Customer 00036,Male,38,Kochi,Kerala,South,2025-06-07,Social,Bronze,Loyal
C100037,Customer 00037,Male,49,Delhi,Delhi,North,2025-05-06,Affiliate,Silver,Prime
C100038,Customer 00038,Male,33,Delhi,Delhi,North,2023-10-14,Direct,Gold,Prime
C100039,Customer 00039,Male,52,Hyderabad,Telangana,South,2024-10-15,Social,Gold,Occasional
C100040,Customer 00040,Female,26,Hyderabad,Telangana,South,2023-06-21,Influencer,Bronze,Discount Seeker
C100041,Customer 00041,Male,47,Mumbai,Maharashtra,West,2025-02-23,Organic Search,Gold,New
C100042,Customer 00042,Male,45,Jaipur,Rajasthan,North,2024-12-26,Direct,Silver,New
C100043,Customer 00043,Female,33,Noida,Uttar Pradesh,North,2024-01-02,Social,Bronze,Discount Seeker
C100044,Customer 00044,Male,18,Chennai,Tamil Nadu,South,2023-03-12,Organic Search,Bronze,Prime
C100045,Customer 00045,Female,23,Bengaluru,Karnataka,South,2025-10-01,Email,Bronze,Occasional
C100046,Customer 00046,Female,18,Bengaluru,Karnataka,South,2024-04-06,Organic Search,Bronze,Prime
C100047,Customer 00047,Male,39,Mumbai,Maharashtra,West,2025-07-13,Direct,Gold,Occasional
C100048,Customer 00048,Male,38,Delhi,Delhi,North,2024-12-02,Affiliate,Bronze,Loyal
C100049,Customer 00049,Male,34,Hyderabad,Telangana,South,2025-03-16,Email,Bronze,Occasional
C100050,Customer 00050,Male,32,Hyderabad,Telangana,South,2025-02-25,Paid Search,Silver,Loyal
C100051,Customer 00051,Female,47,Chennai,Tamil Nadu,South,2023-07-21,Influencer,Gold,Occasional
C100052,Customer 00052,Prefer not to say,36,Lucknow,Uttar Pradesh,North,2024-01-12,Direct,Silver,Discount Seeker
C100053,Customer 00053,Female,27,Delhi,Delhi,North,2024-04-28,Affiliate,Bronze,Loyal
C100054,Customer 00054,Female,34,Mumbai,Maharashtra,West,2024-05-30,Paid Search,Gold,New
C100055,Customer 00055,Female,53,Mumbai,Maharashtra,West,2023-02-15,Social,Bronze,Loyal
C100056,Customer 00056,Female,39,Mumbai,Maharashtra,West,2024-07-19,Paid Search,Silver,Prime
C100057,Customer 00057,Female,29,Chennai,Tamil Nadu,South,2023-06-09,Direct,Platinum,Occasional
C100058,Customer 00058,Male,33,Jaipur,Rajasthan,North,2025-02-08,Paid Search,Gold,Occasional
C100059,Customer 00059,Male,38,Surat,Gujarat,West,2024-12-07,Paid Search,Bronze,Discount Seeker
C100060,Customer 00060,Male,29,Pune,Maharashtra,West,2025-08-12,Organic Search,Gold,Occasional
C100061,Customer 00061,Female,28,Bengaluru,Karnataka,South,2025-02-09,Social,Bronze,Loyal
C100062,Customer 00062,Male,33,Mumbai,Maharashtra,West,2024-01-15,Email,Silver,Occasional
C100063,Customer 00063,Female,48,Bengaluru,Karnataka,South,2025-09-28,Direct,Silver,Discount Seeker
C100064,Customer 00064,Male,41,Bengaluru,Karnataka,South,2024-03-01,Direct,Bronze,Loyal
C100065,Customer 00065,Male,29,Surat,Gujarat,West,2023-12-04,Organic Search,Bronze,Loyal
C100066,Customer 00066,Female,42,Hyderabad,Telangana,South,2025-07-26,Organic Search,Silver,Discount Seeker
C100067,Customer 00067,Male,33,Delhi,Delhi,North,2024-01-19,Paid Search,Bronze,Discount Seeker
C100068,Customer 00068,Male,36,Bengaluru,Karnataka,South,2023-03-21,Affiliate,Bronze,Discount Seeker
C100069,Customer 00069,Female,36,Mumbai,Maharashtra,West,2024-04-30,Direct,Silver,Loyal
C100070,Customer 00070,Male,18,Kochi,Kerala,South,2025-04-03,Organic Search,Silver,Discount Seeker
C100071,Customer 00071,Non-binary,18,Mumbai,Maharashtra,West,2023-07-16,Paid Search,Gold,Loyal
C100072,Customer 00072,Female,35,Mumbai,Maharashtra,West,2024-04-24,Direct,Gold,Occasional
C100073,Customer 00073,Female,24,Delhi,Delhi,North,2023-05-15,Email,Gold,Loyal
C100074,Customer 00074,Female,18,Jaipur,Rajasthan,North,2024-12-11,Social,Bronze,Occasional
C100075,Customer 00075,Male,25,Chennai,Tamil Nadu,South,2024-05-07,Paid Search,Bronze,New
C100076,Customer 00076,Female,42,Pune,Maharashtra,West,2023-12-08,Organic Search,Silver,Prime
C100077,Customer 00077,Male,37,Bengaluru,Karnataka,South,2023-08-23,Organic Search,Gold,Loyal
C100078,Customer 00078,Female,41,Mumbai,Maharashtra,West,2024-08-07,Email,Gold,Occasional
C100079,Customer 00079,Prefer not to say,38,Surat,Gujarat,West,2024-11-24,Affiliate,Silver,Discount Seeker
C100080,Customer 00080,Male,24,Delhi,Delhi,North,2025-08-31,Paid Search,Gold,Occasional
C100081,Customer 00081,Male,41,Mumbai,Maharashtra,West,2024-03-28,Email,Bronze,Discount Seeker
C100082,Customer 00082,Non-binary,39,Chennai,Tamil Nadu,South,2023-06-16,Organic Search,Silver,New
C100083,Customer 00083,Male,32,Mumbai,Maharashtra,West,2025-05-11,Organic Search,Bronze,Discount Seeker
C100084,Customer 00084,Non-binary,34,Mumbai,Maharashtra,West,2024-10-13,Organic Search,Silver,Occasional
C100085,Customer 00085,Female,41,Jaipur,Rajasthan,North,2024-12-25,Organic Search,Bronze,Occasional
C100086,Customer 00086,Female,26,Hyderabad,Telangana,South,2023-04-11,Influencer,Bronze,Occasional
C100087,Customer 00087,Male,44,Delhi,Delhi,North,2023-11-20,Paid Search,Bronze,Prime
C100088,Customer 00088,Female,39,Bengaluru,Karnataka,South,2025-03-05,Organic Search,Silver,Loyal
C100089,Customer 00089,Female,33,Ahmedabad,Gujarat,West,2025-05-11,Affiliate,Silver,Occasional
C100090,Customer 00090,Male,48,Mumbai,Maharashtra,West,2024-03-26,Paid Search,Gold,Loyal
C100091,Customer 00091,Male,20,Mumbai,Maharashtra,West,2025-04-12,Organic Search,Gold,Prime
C100092,Customer 00092,Female,28,Pune,Maharashtra,West,2025-05-21,Paid Search,Bronze,Occasional
C100093,Customer 00093,Female,26,Pune,Maharashtra,West,2024-02-06,Organic Search,Bronze,Discount Seeker
C100094,Customer 00094,Female,37,Gurugram,Haryana,North,2025-07-18,Organic Search,Bronze,Prime
C100095,Customer 00095,Female,45,Bengaluru,Karnataka,South,2023-10-26,Email,Bronze,New
C100096,Customer 00096,Female,23,Mumbai,Maharashtra,West,2023-09-05,Social,Silver,Loyal
C100097,Customer 00097,Male,66,Chennai,Tamil Nadu,South,2024-12-07,Organic Search,Silver,Occasional
C100098,Customer 00098,Male,26,Pune,Maharashtra,West,2024-10-21,Affiliate,Bronze,Discount Seeker
C100099,Customer 00099,Female,37,Mumbai,Maharashtra,West,2023-05-25,Organic Search,Silver,Prime
C100100,Customer 00100,Female,33,Chennai,Tamil Nadu,South,2025-05-11,Social,Gold,Occasional
C100101,Customer 00101,Male,33,Delhi,Delhi,North,2023-07-26,Organic Search,Bronze,Discount Seeker
C100102,Customer 00102,Female,25,Lucknow,Uttar Pradesh,North,2025-04-13,Organic Search,Gold,Occasional
C100103,Customer 00103,Female,44,Lucknow,Uttar Pradesh,North,2023-01-08,Social,Bronze,Prime
C100104,Customer 00104,Female,24,Hyderabad,Telangana,South,2025-04-04,Organic Search,Bronze,Occasional
