order_id,order_date,customer_id,product_id,seller_id,quantity,discount_pct,campaign,shipping_mode,order_status,gross_sales,discount_amount,net_sales,cost_amount,refund_amount,profit,promised_delivery_date,actual_delivery_date,shipping_delay_flag,fulfillment_days
O500000,2024-03-11 17:19:00,C102781,P200197,S3105,1,0.15,None,Express,Delivered,879.19,131.88,747.31,476.78,0.0,270.53,2024-03-14,2024-03-13,0,2
O500001,2025-11-03 23:31:00,C105368,P200464,S3035,1,0.22999999999999998,Big Billion Days,Express,Delivered,12810.27,2946.36,9863.91,7614.94,0.0,2248.97,2025-11-06,2025-11-06,0,3
O500002,2025-12-03 17:56:00,C104908,P200328,S3106,3,0.07,Diwali Fest,Standard,Delivered,2310.03,161.7,2148.33,1712.22,0.0,436.11,2025-12-09,2025-12-08,0,5
O500003,2025-10-16 12:45:00,C110463,P200600,S3105,1,0.15,None,Express,Delivered,6419.87,962.98,5456.89,3301.42,0.0,2155.47,2025-10-19,2025-10-21,1,5
O500004,2024-12-05 00:40:00,C105555,P200334,S3010,2,0.0,None,Express,Delivered,30875.8,0.0,30875.8,28374.86,0.0,2500.94,2024-12-08,2024-12-07,0,2
O500005,2025-12-10 23:13:00,C104660,P200296,S3117,1,0.05,None,Same Day,Delivered,6009.68,300.48,5709.2,3168.61,0.0,2540.59,2025-12-11,2025-12-11,0,1
O500006,2024-08-26 03:52:00,C104192,P200600,S3086,2,0.0,None,Standard,Delivered,12839.74,0.0,12839.74,7768.04,0.0,5071.7,2024-09-01,2024-08-31,0,5
O500007,2024-05-06 14:46:00,C108262,P200209,S3078,1,0.125,Monsoon Mania,Standard,Delivered,9340.69,1167.59,8173.1,7020.69,0.0,1152.41,2024-05-12,2024-05-13,1,7
O500008,2024-11-20 19:41:00,C106955,P200161,S3007,1,0.22999999999999998,Big Billion Days,Express,Delivered,5335.22,1227.1,4108.12,2123.9,0.0,1984.22,2024-11-23,2024-11-24,1,4
O500009,2025-11-09 01:33:00,C110803,P200026,S3030,1,0.13,Big Billion Days,Express,Delivered,9625.54,1251.32,8374.22,7159.96,0.0,1214.26,2025-11-12,2025-11-11,0,2
O500010,2023-09-26 01:27:00,C109344,P200192,S3081,1,0.28,Summer Sale,Standard,Delivered,42581.19,11922.73,30658.46,27408.66,0.0,3249.8,2023-10-02,2023-10-02,0,6
O500011,2025-08-23 16:50:00,C109592,P200364,S3039,2,0.18,Big Billion Days,Standard,Delivered,1286.48,231.57,1054.91,843.93,0.0,210.98,2025-08-29,2025-08-29,0,6
O500012,2025-04-22 04:05:00,C110874,P200600,S3044,1,0.12000000000000001,Diwali Fest,Express,Delivered,6419.87,770.38,5649.49,3417.94,0.0,2231.55,2025-04-25,2025-04-24,0,2
