product_id,product_name,category,subcategory,list_price,standard_margin_pct,status
P200000,Dress Pro 000,Fashion,Dress,3836.02,0.415,Discontinued
P200001,Tablet Max 001,Electronics,Tablet,13762.29,0.153,Discontinued
P200002,Headphones Pro 002,Electronics,Headphones,59178.54,0.201,Active
P200003,T-Shirt Plus 003,Fashion,T-Shirt,4067.65,0.395,Active
P200004,Tablet Max 004,Electronics,Tablet,66159.33,0.183,Discontinued
P200005,Chair Plus 005,Home & Kitchen,Chair,17039.33,0.302,Active
P200006,Yoga Mat Max 006,Sports,Yoga Mat,12463.58,0.427,Discontinued
P200007,Laptop Lite 007,Electronics,Laptop,83005.95,0.14,Active
P200008,Dumbbells Max 008,Sports,Dumbbells,3748.3,0.286,Discontinued
P200009,Smartphone Plus 009,Electronics,Smartphone,36203.57,0.216,Discontinued
P200010,Doll Eco 010,Toys,Doll,5324.29,0.194,Active
P200011,Jeans Elite 011,Fashion,Jeans,1194.69,0.469,Active
P200012,Backpack Pro 012,Sports,Backpack,9310.44,0.379,Active
P200013,Cookware Plus 013,Home & Kitchen,Cookware,5153.2,0.206,Discontinued
P200014,Perfume Eco 014,Beauty,Perfume,1713.68,0.49,Active
P200015,Perfume Max 015,Beauty,Perfume,1194.8,0.375,Active
P200016,Remote Car Elite 016,Toys,Remote Car,2018.22,0.2,Active
P200017,Skincare Eco 017,Beauty,Skincare,2988.22,0.329,Active
P200018,Fiction Max 018,Books,Fiction,1563.08,0.124,Active
P200019,Self Help Max 019,Books,Self Help,1957.11,0.13,Discontinued
P200020,Children Eco 020,Books,Children,1256.24,0.279,Discontinued
P200021,Handbag Max 021,Fashion,Handbag,5662.15,0.286,Discontinued
P200022,Storage Lite 022,Home & Kitchen,Storage,8194.58,0.346,Discontinued
P200023,Jeans Lite 023,Fashion,Jeans,3902.77,0.33,Active
P200024,Smartwatch Elite 024,Electronics,Smartwatch,37515.98,0.156,Active
P200025,Handbag Eco 025,Fashion,Handbag,6564.38,0.503,Active
