review_id,order_id,customer_id,product_id,review_date,rating,review_text
R900000,O500000,C102781,P200197,2024-03-15,4,Would buy again
R900001,O500001,C105368,P200464,2025-11-13,4,Not worth the price
R900002,O500004,C105555,P200334,2024-12-16,5,Late delivery
R900003,O500008,C106955,P200161,2024-12-08,4,Would buy again
R900004,O500009,C110803,P200026,2025-11-29,3,Fast delivery
R900005,O500010,C109344,P200192,2023-10-18,3,Not worth the price
R900006,O500011,C109592,P200364,2025-08-29,5,Would buy again
R900007,O500012,C110874,P200600,2025-04-30,2,Would buy again
R900008,O500018,C104522,P200157,2023-03-19,5,Product matched expectations
R900009,O500020,C110598,P200600,2025-09-28,4,Would buy again
R900010,O500022,C102483,P200410,2024-10-04,5,Late delivery
R900011,O500025,C108043,P200417,2025-12-16,1,Fast delivery
R900012,O500027,C104309,P200600,2023-08-20,4,Would buy again
R900013,O500030,C100638,P200033,2025-09-26,4,Would buy again
R900014,O500033,C105552,P200596,2023-04-29,4,Product matched expectations
R900015,O500035,C106771,P200464,2024-01-04,4,Product matched expectations
R900016,O500037,C106198,P200352,2024-04-08,4,Late delivery
R900017,O500038,C104463,P200160,2023-10-17,5,Excellent value
R900018,O500040,C108404,P200351,2023-06-24,4,Excellent value
R900019,O500043,C106581,P200239,2023-10-23,4,Not worth the price
R900020,O500047,C108399,P200600,2023-05-26,3,Product matched expectations
R900021,O500048,C106495,P200047,2024-09-28,4,Fast delivery
R900022,O500049,C103904,P200188,2025-10-19,4,Fast delivery
R900023,O500051,C111303,P200138,2023-04-02,2,Product matched expectations
R900024,O500053,C105804,P200600,2023-04-20,3,Fast delivery
R900025,O500054,C109509,P200460,2023-09-30,5,Quality could be better
R900026,O500059,C103550,P200178,2023-03-26,2,Would buy again
R900027,O500062,C102693,P200490,2023-05-07,2,Quality could be better
R900028,O500064,C103023,P200239,2023-04-15,4,Product matched expectations
R900029,O500065,C100244,P200600,2025-05-20,4,Late delivery
R900030,O500066,C104580,P200464,2024-12-23,4,Quality could be better
R900031,O500067,C106949,P200464,2024-11-21,3,Not worth the price
R900032,O500068,C107623,P200600,2023-09-06,4,Late delivery
R900033,O500071,C103755,P200634,2023-02-01,4,Product matched expectations
R900034,O500072,C106582,P200600,2024-07-26,5,Fast delivery
R900035,O500076,C109340,P200613,2024-06-08,4,Would buy again
R900036,O500078,C103065,P200600,2023-12-15,4,Product matched expectations
