seller_id,seller_name,seller_city,seller_rating,onboarded_date
S3000,Seller Partner 000,Kochi,3.69,2022-09-18
S3001,Seller Partner 001,Pune,4.4,2021-06-03
S3002,Seller Partner 002,Noida,4.18,2022-01-13
S3003,Seller Partner 003,Bengaluru,4.88,2021-04-04
S3004,Seller Partner 004,Gurugram,3.87,2022-04-26
S3005,Seller Partner 005,Kolkata,4.45,2022-02-09
S3006,Seller Partner 006,Surat,3.77,2022-03-01
S3007,Seller Partner 007,Pune,4.96,2021-06-25
S3008,Seller Partner 008,Ahmedabad,4.4,2021-07-12
S3009,Seller Partner 009,Noida,4.01,2022-10-29
S3010,Seller Partner 010,Hyderabad,4.7,2021-01-12
S3011,Seller Partner 011,Delhi,4.82,2021-04-18
S3012,Seller Partner 012,Jaipur,4.34,2021-03-21
S3013,Seller Partner 013,Lucknow,4.13,2021-04-24
S3014,Seller Partner 014,Gurugram,3.79,2022-02-22
S3015,Seller Partner 015,Noida,3.84,2020-11-14
S3016,Seller Partner 016,Lucknow,3.75,2021-05-02
S3017,Seller Partner 017,Gurugram,4.59,2022-07-17
S3018,Seller Partner 018,Delhi,4.61,2022-04-29
S3019,Seller Partner 019,Kochi,3.81,2022-08-23
S3020,Seller Partner 020,Jaipur,4.63,2021-05-02
S3021,Seller Partner 021,Kolkata,4.09,2020-12-23
S3022,Seller Partner 022,Bhopal,3.99,2021-04-27
S3023,Seller Partner 023,Kochi,4.36,2022-03-21
S3024,Seller Partner 024,Delhi,4.16,2021-01-22
S3025,Seller Partner 025,Gurugram,3.56,2021-08-23
S3026,Seller Partner 026,Ahmedabad,4.06,2022-02-09
S3027,Seller Partner 027,Jaipur,3.7,2020-11-28
S3028,Seller Partner 028,Bengaluru,3.58,2021-11-11
S3029,Seller Partner 029,Pune,3.97,2021-06-30
S3030,Seller Partner 030,Kochi,4.16,2021-09-12
S3031,Seller Partner 031,Mumbai,3.71,2022-05-12
S3032,Seller Partner 032,Kolkata,4.21,2021-05-25
S3033,Seller Partner 033,Jaipur,4.22,2022-08-28
S3034,Seller Partner 034,Gurugram,4.44,2021-12-28
S3035,Seller Partner 035,Delhi,4.12,2022-03-13
S3036,Seller Partner 036,Gurugram,4.45,2021-02-12
S3037,Seller Partner 037,Pune,4.48,2021-07-07
S3038,Seller Partner 038,Chennai,3.65,2022-02-14
S3039,Seller Partner 039,Lucknow,4.81,2020-12-01
S3040,Seller Partner 040,Kolkata,4.63,2021-01-30
S3041,Seller Partner 041,Chennai,4.09,2022-10-14
S3042,Seller Partner 042,Hyderabad,3.86,2021-08-12
S3043,Seller Partner 043,Hyderabad,4.49,2022-01-03
S3044,Seller Partner 044,Hyderabad,3.95,2022-10-22
S3045,Seller Partner 045,Lucknow,3.82,2021-03-24
S3046,Seller Partner 046,Ahmedabad,4.07,2022-04-05
S3047,Seller Partner 047,Delhi,4.62,2021-01-29
S3048,Seller Partner 048,Hyderabad,4.71,2022-01-08
S3049,Seller Partner 049,Gurugram,4.85,2021-02-11
S3050,Seller Partner 050,Bhopal,4.11,2021-07-05
S3051,Seller Partner 051,Noida,4.14,2021-04-13
S3052,Seller Partner 052,Kochi,4.14,2021-08-17
S3053,Seller Partner 053,Noida,3.97,2022-07-13
S3054,Seller Partner 054,Surat,3.96,2021-11-22
