category,product_id,product_name,revenue,orders,avg_rating,rank_in_category
Beauty,P200014,Perfume Eco 014,622254.4,283,0.1978798586572438,1.0
Beauty,P200136,Skincare Pro 136,277090.51,74,0.1891891891891892,8.0
Beauty,P200240,Sunscreen Elite 240,505457.14,96,0.3125,4.0
Beauty,P200287,Hair Dryer Plus 287,380999.48,104,0.16346153846153846,7.0
Beauty,P200309,Makeup Kit Lite 309,455452.58,71,0.2112676056338028,5.0
Beauty,P200373,Perfume Lite 373,257904.3,38,0.13157894736842105,9.0
Beauty,P200422,Hair Dryer Eco 422,592996.18,101,0.2376237623762376,2.0
Beauty,P200539,Makeup Kit Lite 539,237857.67,41,0.24390243902439024,10.0
Beauty,P200543,Hair Dryer Lite 543,405906.66,104,0.25,6.0
Beauty,P200559,Makeup Kit Plus 559,569382.1,111,0.24324324324324326,3.0
Books,P200018,Fiction Max 018,880162.53,416,0.22355769230769232,2.0
Books,P200020,Children Eco 020,89997.02,51,0.2549019607843137,7.0
Books,P200175,Children Lite 175,80071.12,52,0.2692307692307692,9.0
Books,P200191,Fiction Eco 191,80219.62,48,0.20833333333333334,8.0
Books,P200236,Exam Prep Eco 236,130530.81,104,0.17307692307692307,5.0
Books,P200298,Self Help Eco 298,52826.78,28,0.25,10.0
Books,P200328,Fiction Elite 328,739314.46,753,0.22576361221779548,3.0
Books,P200364,Self Help Max 364,1072622.16,1314,0.2039573820395738,1.0
Books,P200397,Children Pro 397,91228.7,43,0.16279069767441862,6.0
Books,P200631,Children Lite 631,157520.16,64,0.25,4.0
Electronics,P200007,Laptop Lite 007,40992903.4,407,0.1891891891891892,4.0
Electronics,P200041,Smartphone Max 041,129331283.72,1415,0.21696113074204948,1.0
Electronics,P200063,Headphones Eco 063,48843425.84,876,0.2191780821917808,3.0
Electronics,P200109,Smartphone Plus 109,18208486.59,329,0.23708206686930092,10.0
Electronics,P200130,Smartwatch Elite 130,23654740.4,228,0.21929824561403508,6.0
Electronics,P200239,Headphones Lite 239,67390923.71,822,0.20194647201946472,2.0
Electronics,P200292,Camera Eco 292,22900815.61,353,0.21813031161473087,8.0
Electronics,P200352,Smartwatch Plus 352,37486820.28,507,0.21893491124260356,5.0
Electronics,P200433,Laptop Pro 433,19762331.69,306,0.22875816993464052,9.0
Electronics,P200451,Tablet Pro 451,23251972.95,315,0.20317460317460317,7.0
Fashion,P200021,Handbag Max 021,1003502.82,141,0.1702127659574468,8.0
Fashion,P200033,Dress Lite 033,2593063.4,778,0.2390745501285347,3.0
Fashion,P200161,Jeans Elite 161,2208621.15,308,0.2532467532467532,4.0
Fashion,P200167,Jacket Elite 167,838973.21,92,0.20652173913043478,9.0
Fashion,P200197,Jacket Elite 197,1627120.93,1401,0.2091363311920057,5.0
Fashion,P200268,Handbag Elite 268,2855820.07,414,0.25120772946859904,2.0
Fashion,P200306,Jeans Lite 306,773595.84,129,0.20930232558139536,10.0
Fashion,P200350,T-Shirt Max 350,1302321.71,149,0.2080536912751678,7.0
Fashion,P200462,Sneakers Elite 462,1359577.05,378,0.19576719576719576,6.0
Fashion,P200538,T-Shirt Max 538,3283483.08,338,0.23964497041420119,1.0
Grocery,P200147,Breakfast Eco 147,102232.86,36,0.2222222222222222,9.0
Grocery,P200305,Organic Staples Elite 305,540986.68,211,0.2132701421800948,2.0
Grocery,P200367,Organic Staples Max 367,153093.35,81,0.14814814814814814,5.0
Grocery,P200399,Beverages Lite 399,508992.13,178,0.19101123595505617,3.0
Grocery,P200412,Organic Staples Eco 412,180405.28,164,0.20121951219512196,4.0
Grocery,P200517,Organic Staples Eco 517,979084.02,371,0.20215633423180593,1.0
Grocery,P200578,Coffee Plus 578,105175.73,78,0.19230769230769232,8.0
Grocery,P200596,Beverages Plus 596,84830.23,159,0.22641509433962265,10.0
Grocery,P200609,Beverages Lite 609,137008.54,58,0.22413793103448276,7.0
Grocery,P200613,Beverages Max 613,139997.0,58,0.1896551724137931,6.0
Home & Kitchen,P200047,Bedsheet Plus 047,6478855.2,352,0.23011363636363635,3.0
Home & Kitchen,P200242,Lamp Lite 242,2161271.03,147,0.23129251700680273,7.0
Home & Kitchen,P200332,Lamp Max 332,2490844.35,126,0.2619047619047619,6.0
Home & Kitchen,P200370,Mixer Max 370,2037184.64,178,0.24719101123595505,9.0
Home & Kitchen,P200394,Lamp Lite 394,2141420.37,257,0.25680933852140075,8.0
Home & Kitchen,P200429,Lamp Plus 429,5595960.16,335,0.23880597014925373,4.0
Home & Kitchen,P200446,Storage Plus 446,3236761.18,217,0.2350230414746544,5.0
Home & Kitchen,P200464,Mixer Pro 464,31502759.66,1886,0.2200424178154825,2.0
Home & Kitchen,P200487,Lamp Max 487,1720940.96,101,0.25742574257425743,10.0
Home & Kitchen,P200600,Storage Elite 600,123062907.77,15022,0.21987751298096125,1.0
Sports,P200012,Backpack Pro 012,1988384.07,153,0.2222222222222222,1.0
Sports,P200051,Cycle Accessories Plus 051,215892.37,18,0.2222222222222222,9.0
Sports,P200213,Cycle Accessories Elite 213,1700192.83,101,0.18811881188118812,2.0
Sports,P200368,Dumbbells Eco 368,1080800.45,89,0.23595505617977527,3.0
Sports,P200417,Cycle Accessories Pro 417,437091.17,37,0.13513513513513514,7.0
Sports,P200455,Shoes Max 455,214064.35,33,0.21212121212121213,10.0
Sports,P200468,Backpack Plus 468,295710.64,52,0.19230769230769232,8.0
Sports,P200475,Backpack Max 475,445579.14,34,0.2647058823529412,6.0
Sports,P200573,Backpack Elite 573,525367.61,75,0.29333333333333333,5.0
Sports,P200594,Shoes Max 594,527284.18,41,0.21951219512195122,4.0
Toys,P200010,Doll Eco 010,43765.67,7,0.2857142857142857,10.0
Toys,P200142,Remote Car Lite 142,99343.06,17,0.23529411764705882,5.0
Toys,P200176,Remote Car Lite 176,46148.99,11,0.2727272727272727,9.0
Toys,P200199,STEM Kit Plus 199,456552.3,81,0.1728395061728395,2.0
Toys,P200411,Doll Pro 411,299473.81,33,0.15151515151515152,3.0
Toys,P200414,Remote Car Max 414,75653.95,11,0.09090909090909091,7.0
Toys,P200430,STEM Kit Max 430,80988.15,14,0.14285714285714285,6.0
Toys,P200460,Remote Car Lite 460,5831048.54,1022,0.21037181996086105,1.0
Toys,P200611,Remote Car Elite 611,61810.8,12,0.3333333333333333,8.0
Toys,P200635,Doll Max 635,195342.82,41,0.17073170731707318,4.0
